product_id,competitor_id,repricer_id,sku,our_mpn,our_status,our_gtin,our_brand,our_category,brand_label,osb_url,90 days Sales,system_status,existing_competitor_url,existing_reason,approval_status,reviewed_by_user,sku_mismatch,existing_state,best_candidate_url,best_candidate_name,best_candidate_ref_sku,best_candidate_score,best_candidate_confidence,best_candidate_signal,best_candidate_name_similarity,best_candidate_remark,best_candidate_reasons,top_candidates,decision,decision_reason
779153,370,46713238,RJI-1C251908G49348,1C251908G49348,1,8.44E+11,Rajani Home,Rugs,Rajani Home,https://www.1stopbedrooms.com/pluvi-medallion-indoor-outdoor-accent-rug-in-gray-and-navy,,1,https://emmamason.com/coaster-kailani-california-king-wingback-bed-beige-oak-225041kw.html?phash=da7e2f&vfsku=366009,Wrong Match,-,Nisarg Bhatt,-,CM_URL_NOT_IN_SCRAPE,,,,,,,,,,https://emmamason.com/split-nickel-reed-mirror-v-reed-m-som1c2.html#NONE:-120,CRAWL_MISS_PENDING,Existing URL not found in scrape and no safe replacement
114123,370,41168729,CST-4241,4241,1,21032388614,Coaster,Dining Tables,Coaster,https://www.1stopbedrooms.com/damen-natural-white-natural-drop-leaf-table-with-empire-base,,1,https://emmamason.com/coaster-round-drop-leaf-dining-table-in-white-and-natural-finish-4241.html?phash=cdd1fb&vfsku=193606,Wrong Match,-,moe h,-,CM_URL_NOT_IN_SCRAPE,https://emmamason.com/york-f17-toile-resource-library-old-world-toile-wallpaper-at4241-double-roll.html,York F17-Toile Resource Library Old World Toile Blue &amp; White Wallpaper AT4241 (Double Roll),EM-YORK-AT4241,640,LOW,MPN_PARTIAL,4.3,,MPN partial match on MPN; MPN partial (prefix/suffix); Brand mismatch,https://emmamason.com/york-f17-toile-resource-library-old-world-toile-wallpaper-at4241-double-roll.html#MPN_PARTIAL:640 | https://emmamason.com/york-e24-candice-modern-nature-2nd-edition-leaf-concerto-wallpaper-os4241-double-roll.html#MPN_PARTIAL:640 | https://emmamason.com/crestview-collection-port-douglas-sideboard-in-painted-grey-cvfnr4241.html#MPN_PARTIAL:640 | https://emmamason.com/crestview-collection-port-douglas-sideboard-in-painted-grey-cvfnr4241.html#MPN_PARTIAL:640,CRAWL_MISS_PENDING,Existing URL not found in scrape and no safe replacement
214119,370,34815666,HOE-1603-1,1603-1*,1,7.82E+11,Homelegance,Beds,Homelegance,https://www.1stopbedrooms.com/royal-highlands-rich-cherry-queen-panel-bed,,1,"https://emmamason.com/homelegance-royal-highlands-4pc-upholstered-panel-bedroom-set-in-rich-cherry.html?name=Homelegance+Royal+Highlands+Queen+Upholstered+Panel+Bed+in+Rich+Cherry+with+3+Drawer+Nightstand,+9+Dresser+1603-5,+Mirror&phash=4fd30b&selection=106404-247961-1&selection=106405-247963-1&selection=106406-247964-1&selection=106407-247965-1",Wrong Match,-,Yash Prajapati,-,CM_URL_NOT_IN_SCRAPE,,,,,,,,,,,CRAWL_MISS_PENDING,Existing URL not found in scrape and no safe replacement
445593,370,25595061,FOA-CM-BK588BWH-BED,CM-BK588BWH-BED,1,1.93E+11,Furniture of America,Beds,Furniture of America,https://www.1stopbedrooms.com/california-twin-over-full-bunk-bed-with-2-drawers-in-white,,1,https://emmamason.com/furniture-of-america-california-iii-twin-full-bunk-bed-in-white-cm-bk588wh.html?com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e&vfsku=11346,Wrong Match,-,Rohan Patel,-,CM_URL_NOT_IN_SCRAPE,,,,,,,,,,,CRAWL_MISS_PENDING,Existing URL not found in scrape and no safe replacement
591162,370,26431315,CST-551324-SETA,551324-SETA,1,21032514617,Coaster,Sectionals,Coaster,https://www.1stopbedrooms.com/serene-4-piece-upholstered-modular-sectional-in-charcoal,,1,https://emmamason.com/coaster-serene-4-piece-upholstered-modular-sectional-charcoal-in-charcoal-551324-setb.html?com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e&vfsku=267856,Wrong Match,-,Rohan Patel,-,CM_URL_NOT_IN_SCRAPE,https://emmamason.com/coaster-furniture-serene-6pc-sectional-in-gray.html,Coaster Furniture Serene 6pc Sectional in Gray,EM-551324-SET,880,HIGH,MPN_PARTIAL,16.7,,MPN partial match on PART; MPN partial (prefix/suffix); Brand exact,https://emmamason.com/coaster-furniture-serene-6pc-sectional-in-gray.html#MPN_PARTIAL:880,MANUAL_REVIEW,CM marked wrong match; skip auto update
621863,370,35849158,BHF-K1652,K1652,1,6.63E+11,Bernhardt,Beds,Bernhardt,https://www.1stopbedrooms.com/foundations-upholtered-button-tufted-california-king-panel-bed,,1,"https://emmamason.com/bernhardt-foundations-4-piece-panel-bedroom-set-in-linen-162507-162511.html?name=Bernhardt+Foundations+Cal+King+Panel+Bed+in+Light+Shale+with+Nightstand+306-217,+9-Drawer+Dresser+Linen+306-053,+Mirror+306-331&phash=fe9f9a&selection=96326-219424-1&selection=96327-219425-1&selection=96328-219426-1&selection=96329-219427-1",Wrong Match,-,Yash Prajapati,-,CM_URL_NOT_IN_SCRAPE,,,,,,,,,,,CRAWL_MISS_PENDING,Existing URL not found in scrape and no safe replacement
622737,370,36429635,BHF-K1582,K1582,1,6.63E+11,Bernhardt,Beds,Bernhardt,https://www.1stopbedrooms.com/silhouette-upholstered-king-panel-bed,,1,https://emmamason.com/bernhardt-silhouette-4-piece-panel-queen-bedroom-set-in-eggshell-1.html?name=Bernhardt+Silhouette+King+Panel+Bed+PROMO+with+3+Drawer+Nightstand+in+Eggshell&phash=132a40&selection=95982-218467-1&selection=95983-218456-1,Wrong Match,-,Yash Prajapati,-,CM_URL_NOT_IN_SCRAPE,,,,,,,,,,https://emmamason.com/modus-brighton-9-drawer-dresser-in-cinnamon-finish-br1582.html#NONE:-120 | https://emmamason.com/york-b65-magnolia-home-vol-1-dots-on-dots-wallpaper-mh1582-double-roll.html#NONE:-120,CRAWL_MISS_PENDING,Existing URL not found in scrape and no safe replacement
622752,370,31063791,BHF-K1119,K1119,1,6.63E+11,Bernhardt,Beds,Bernhardt,https://www.1stopbedrooms.com/santa-barbara-upholstered-king-panel-bed,,1,https://emmamason.com/bernhardt-santa-barbara-4pc-upholstered-tufted-bedroom-set-in-sandstone.html?name=Bernhardt+Santa+Barbara+King+Upholstered+Tufted+Panel+Bed+in+Sandstone+with+Nightstand&phash=f97c8e&selection=86937-194855-1&selection=87046-194857-1,Wrong Match,-,Yash Prajapati,-,CM_URL_NOT_IN_SCRAPE,https://emmamason.com/york-c59-magnolia-home-artful-prints-patterns-thread-stripe-wallpaper-mk1119-double-roll.html,York C59-Magnolia Home Artful Prints &amp; Patterns Thread Stripe Navy Wallpaper MK1119 (Double Roll),EM-YORK-MK1119,640,LOW,MPN_PARTIAL,0,,MPN partial match on MPN; MPN partial (prefix/suffix); Brand mismatch,https://emmamason.com/york-c59-magnolia-home-artful-prints-patterns-thread-stripe-wallpaper-mk1119-double-roll.html#MPN_PARTIAL:640 | https://emmamason.com/crestview-collection-berwick-table-lamp-in-natural-cvaer1119-2pcs.html#NONE:-120 | https://emmamason.com/emma-mason-signature-harley-filler-in-natural-and-brown.html#NONE:-120 | https://emmamason.com/cal-lighting-kampia-led-pendant-up-1119.html#NONE:-120,CRAWL_MISS_PENDING,Existing URL not found in scrape and no safe replacement
631193,370,42624865,KIN-315-313P,315-313P,1,6.63E+11,Kincaid,Beds,Kincaid,https://www.1stopbedrooms.com/monogram-pinehurst-queen-upholstered-bed-in-walnut-315-313p,,1,https://emmamason.com/kincaid-monogram-walnut-ashburn-2pc-slat-bedroom-set-1.html?name=Kincaid+Monogram+Walnut+Pinehurst+Queen+Upholstered+Bed+with+Highland+Open+Nightstand&phash=e50ce6&selection=99523-228551-1&selection=99524-228536-1,Wrong Match,-,Yash Prajapati,-,CM_URL_NOT_IN_SCRAPE,,,,,,,,,,,CRAWL_MISS_PENDING,Existing URL not found in scrape and no safe replacement
205950,370,34280343,ASL-B221-54S-57-60-95-B100-13,B221B13,1,24052420487,Signature Design by Ashley,Beds,Signature Design by Ashley,https://www.1stopbedrooms.com/baystorm-gray-queen-storage-panel-bed,1,1,https://emmamason.com/baystorm-4-piece-panel-storage-bedroom-set-in-gray-1.html?name=Baystorm+Queen+Panel+w%2F+Storage+on+Both+Sides+and+Footboard+in+Gray+with+6+Drawer+Dresser%2C+Bedroom+Mirror%2C+1+Nightstand+B221-91+FedEx%2FUPS&selection=99669-228956-1&selection=99670-228949-1&selection=99671-228950-1&selection=99672-228951-1,Wrong Match,-,moe h,-,CM_URL_NOT_IN_SCRAPE,,,,,,,,,,,CRAWL_MISS_PENDING,Existing URL not found in scrape and no safe replacement
